2022-06-16 17:24:40 status installed linux-image-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 configure linux-headers-aws:amd64 5.4.0.1080.60 <none>
2022-06-16 17:24:40 status unpacked linux-headers-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status half-configured linux-headers-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status installed linux-headers-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 configure linux-aws:amd64 5.4.0.1080.60 <none>
2022-06-16 17:24:40 status unpacked linux-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status half-configured linux-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status installed linux-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 trigproc linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1 <none>
2022-06-16 17:24:40 status half-configured linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:46 status installed linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:47 startup archives unpack
2022-06-16 17:24:48 install hibagent:all <none> 1.0.1-0ubuntu1
2022-06-16 17:24:48 status half-installed hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 status triggers-pending ureadahead:amd64 0.100.0-21
2022-06-16 17:24:48 status triggers-pending systemd:amd64 237-3ubuntu10.53
2022-06-16 17:24:48 status unpacked hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 status unpacked hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 startup packages configure
2022-06-16 17:24:48 configure hibagent:all 1.0.1-0ubuntu1 <none>
2022-06-16 17:24:48 status unpacked hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 status unpacked hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 status unpacked hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 status half-configured hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 status installed hibagent:all 1.0.1-0ubuntu1
2022-06-16 17:24:48 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-06-16 17:24:48 status half-configured ureadahead:amd64 0.100.0-21
2022-06-16 17:24:48 status installed ureadahead:amd64 0.100.0-21
2022-06-16 17:24:48 trigproc systemd:amd64 237-3ubuntu10.53 <none>
2022-06-16 17:24:48 status half-configured systemd:amd64 237-3ubuntu10.53
2022-06-16 17:24:48 status installed systemd:amd64 237-3ubuntu10.53
2022-06-16 17:24:49 startup archives unpack
2022-06-16 17:24:49 install ec2-hibinit-agent:all <none> 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:49 status half-installed ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:49 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:49 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:49 startup packages configure
2022-06-16 17:24:49 configure ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6 <none>
2022-06-16 17:24:49 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:49 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:50 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:50 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:50 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:50 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:50 status half-configured ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-16 17:24:50 status installed ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.6
2022-06-20 16:00:09 startup archives unpack
2022-06-20 16:00:10 install binutils-common:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:10 status half-installed binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:10 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-06-20 16:00:10 status unpacked binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:10 status unpacked binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:10 install libbinutils:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:10 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.6
2022-06-20 16:00:10 status half-installed libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status unpacked libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status unpacked libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 install binutils-x86-64-linux-gnu:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status half-installed binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 install binutils:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status half-installed binutils:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status unpacked binutils:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 status unpacked binutils:amd64 2.30-21ubuntu1~18.04.7
2022-06-20 16:00:11 install libc-dev-bin:amd64 <none> 2.27-3ubuntu1.6
2022-06-20 16:00:11 status half-installed libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-06-20 16:00:11 status unpacked libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-06-20 16:00:11 status unpacked libc-dev-bin:amd64 2.27-3ubuntu1.6
